ticker,xgb_mape,xgb_dir_acc,ensemble_mape,ensemble_dir_acc,conf
HDFCBANK.NS,5.19,40.98,5.56,100.0,Medium
ICICIBANK.NS,2.68,77.05,3.61,78.69,High
KOTAKBANK.NS,4.23,93.44,4.77,93.44,High
SBIN.NS,19.14,75.41,3.85,95.08,Medium
BAJFINANCE.NS,6.38,54.1,3.96,77.05,Medium
AXISBANK.NS,7.17,44.26,3.91,88.52,Medium
INDUSINDBK.NS,9.95,63.93,5.22,77.05,Medium
BAJAJFINSV.NS,7.72,50.82,6.18,72.13,Medium
HDFCLIFE.NS,7.26,39.34,3.69,98.36,Medium
SBILIFE.NS,19.16,86.89,2.36,88.52,Medium
ICICIPRULI.NS,5.55,80.33,3.52,93.44,High
ICICIGI.NS,4.38,52.46,2.46,93.44,Medium
PNBHOUSING.NS,11.11,70.49,7.15,80.33,Medium
MUTHOOTFIN.NS,31.4,77.05,3.56,86.89,Medium
PNB.NS,17.21,88.52,2.64,90.16,Medium
BANKBARODA.NS,19.63,45.9,4.28,78.69,Low
SHRIRAMFIN.NS,24.61,72.13,3.86,83.61,Medium
CHOLAFIN.NS,9.39,65.57,5.78,77.05,Medium
CANBK.NS,27.45,44.26,3.21,83.61,Low
TCS.NS,14.03,62.3,7.94,88.52,Medium
INFY.NS,6.81,60.66,6.88,73.77,Medium
WIPRO.NS,9.32,60.66,6.77,93.44,Medium
HCLTECH.NS,5.94,72.13,7.09,67.21,High
TECHM.NS,6.45,70.49,6.61,75.41,High
MPHASIS.NS,10.5,83.61,6.75,90.16,Medium
PERSISTENT.NS,8.63,86.89,7.39,95.08,Medium
COFORGE.NS,17.0,40.98,8.79,98.36,Low
OFSS.NS,8.55,40.98,7.61,85.25,Medium
DIXON.NS,22.36,68.85,4.28,86.89,Medium
RELIANCE.NS,6.2,62.3,2.07,90.16,Medium
ONGC.NS,5.52,39.34,3.73,93.44,Medium
BPCL.NS,15.04,50.82,6.91,63.93,Low
IOC.NS,10.19,52.46,8.13,67.21,Medium
GAIL.NS,5.74,60.66,4.43,78.69,Medium
COALINDIA.NS,9.13,40.98,3.08,80.33,Medium
NTPC.NS,5.07,29.51,2.78,86.89,Medium
ADANIPORTS.NS,7.67,50.82,5.55,77.05,Medium
ADANIENT.NS,8.0,78.69,5.63,77.05,High
ITC.NS,12.24,36.07,1.92,100.0,Low
HINDUNILVR.NS,5.57,83.61,4.03,88.52,High
NESTLEIND.NS,7.55,83.61,2.36,93.44,High
BRITANNIA.NS,12.97,65.57,2.23,73.77,Medium
DABUR.NS,7.47,78.69,4.64,93.44,High
MARICO.NS,10.07,55.74,2.29,73.77,Medium
GODREJCP.NS,5.1,60.66,4.42,86.89,Medium
COLPAL.NS,17.01,52.46,3.96,88.52,Low
EMAMILTD.NS,16.97,39.34,6.4,90.16,Low
VBL.NS,8.1,36.07,6.05,86.89,Medium
MARUTI.NS,19.9,37.7,5.84,98.36,Low
TATAMOTORS.NS,19.64,29.51,5.78,98.36,Low
M&M.NS,17.83,42.62,3.05,93.44,Low
BAJAJ-AUTO.NS,11.62,73.77,3.2,75.41,Medium
HEROMOTOCO.NS,17.27,70.49,1.97,81.97,Medium
EICHERMOT.NS,20.56,54.1,4.14,68.85,Low
TVSMOTOR.NS,24.75,47.54,3.6,77.05,Low
ASHOKLEY.NS,26.11,85.25,4.4,91.8,Medium
BOSCHLTD.NS,20.97,44.26,6.64,75.41,Low
MOTHERSON.NS,17.17,63.93,4.73,83.61,Medium
SUNPHARMA.NS,4.3,77.05,2.42,77.05,High
DRREDDY.NS,7.32,65.57,2.86,83.61,High
CIPLA.NS,7.25,37.7,2.28,96.72,Medium
DIVISLAB.NS,4.67,59.02,2.35,75.41,Medium
BIOCON.NS,7.46,81.97,2.82,83.61,High
AUROPHARMA.NS,5.92,72.13,2.91,78.69,High
LUPIN.NS,5.63,47.54,1.7,98.36,Medium
TORNTPHARM.NS,14.89,68.85,2.84,100.0,Medium
ALKEM.NS,6.79,75.41,2.58,68.85,High
ABBOTINDIA.NS,10.59,49.18,1.62,81.97,Medium
ZYDUSLIFE.NS,3.46,65.57,1.67,78.69,High
TATASTEEL.NS,19.72,59.02,3.5,86.89,Medium
JSWSTEEL.NS,15.44,65.57,2.43,95.08,Medium
HINDALCO.NS,21.49,78.69,2.16,86.89,Medium
VEDL.NS,26.47,63.93,6.01,93.44,Medium
SAIL.NS,18.59,37.7,3.72,83.61,Low
NMDC.NS,14.68,47.54,3.81,85.25,Low
JINDALSTEL.NS,17.47,49.18,3.26,80.33,Low
APLAPOLLO.NS,9.38,62.3,4.3,91.8,Medium
LT.NS,12.18,67.21,5.22,78.69,Medium
POWERGRID.NS,4.05,68.85,4.85,73.77,High
ADANIGREEN.NS,9.38,83.61,9.93,77.05,Medium
SIEMENS.NS,4.37,55.74,5.65,75.41,Medium
ABB.NS,10.24,18.03,4.56,98.36,Medium
HAVELLS.NS,11.3,63.93,3.47,95.08,Medium
CUMMINSIND.NS,22.16,44.26,4.44,75.41,Low
SUPREMEIND.NS,7.54,60.66,2.07,100.0,Medium
BHARTIARTL.NS,6.58,52.46,3.34,91.8,Medium
INDUSTOWER.NS,10.65,57.38,3.94,91.8,Medium
IDEA.NS,18.35,72.13,3.77,93.44,Medium
DLF.NS,13.47,49.18,3.92,90.16,Low
GODREJPROP.NS,15.68,63.93,5.82,90.16,Medium
OBEROIRLTY.NS,7.51,57.38,4.12,88.52,Medium
PRESTIGE.NS,17.48,31.15,6.23,93.44,Low
PHOENIXLTD.NS,7.68,54.1,5.02,91.8,Medium
TITAN.NS,17.35,63.93,3.41,68.85,Medium
ASIANPAINT.NS,9.33,68.85,3.78,95.08,Medium
PIDILITIND.NS,3.41,29.51,3.79,78.69,Medium
BERGEPAINT.NS,5.64,52.46,3.53,98.36,Medium
TRENT.NS,20.48,67.21,6.05,73.77,Medium
DMART.NS,8.96,80.33,4.23,80.33,Medium
NYKAA.NS,21.45,59.02,4.38,62.3,Medium
